car_name,carisyou_url,aws_url,브랜드,국산/수입,가격,연비,연료,차급,외형,등급명,판매여부,출시일,단종일,승차정원,최고속도,배기량,엔진형식,구동방식,연비등급,price_int,price_int_low,price_int_high,displacement_int,fuel_efficiency_int,fuel_efficiency_int_low,fuel_efficiency_int_high
2002 BMW 3시리즈(4세대),http://file.carisyou.com/newcar/color/224_bmw_3series2002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/11.jpg,BMW,수입,-만원,7.0km/ℓ,가솔린,준중형,세단,323i,단종,2002-01-01,2003-01-01,5명,0km/h,"2,300cc",-,FR,0등급,-,9999999999,9999999999,2300,7.0,7.0,7.0
1999 BMW 5시리즈(4세대),,,BMW,수입,"6,490~9,900만원",6.1~8.3km/ℓ,가솔린,중형,세단,520i세단,단종,1999-01-01,2000-01-01,5명,210km/h,"1,991cc",직렬6기통DOHC,FR,5등급,"64900000, 99000000",64900000,99000000,1991,"6.1, 8.3",6.1,8.3
2001 BMW 5시리즈(4세대),http://file.carisyou.com/newcar/color/236_bmw_5series2001_100.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/13.jpg,BMW,수입,-만원,-,가솔린,중형,세단,520i세단,단종,2001-05-01,2002-07-01,5명,226km/h,"2,171cc",L6,FR,0등급,-,9999999999,9999999999,2171,-,0.0,0.0
1999 BMW 7시리즈(3세대),,,BMW,수입,"9,500~1억7,200만원",5.5~6.8km/ℓ,가솔린,대형,세단,728iL,단종,1999-01-01,2000-01-01,5명,226km/h,"2,793cc",직렬6기통DOHC,FR,5등급,"95000000, 172000000",95000000,172000000,2793,"5.5, 6.8",5.5,6.8
2002 BMW 7시리즈(4세대),http://file.carisyou.com/newcar/color/245_bmw_7series2002_100.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/15.jpg,BMW,수입,-만원,-,가솔린,대형,세단,745i,단종,2002-06-01,2003-06-01,5명,0km/h,"4,398cc",V8,FR,0등급,-,9999999999,9999999999,4398,-,0.0,0.0
1999 BMW M5(3세대),,,BMW,수입,"1억4,520만원",6.7km/ℓ,가솔린,중형,세단,M5,단종,1999-01-01,2000-01-01,5명,250km/h,"4,941cc",V형8기통DOHC,FR,5등급,145200000,145200000,145200000,4941,6.7,6.7,6.7
1999 BMW Z3,http://file.carisyou.com/newcar/color/269_bmw_z31999_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/17.jpg,BMW,수입,-만원,-,가솔린,소형,컨버터블,로드스터1.9i,단종,1999-01-01,2000-01-01,2명,0km/h,"1,895cc",-,FR,0등급,-,9999999999,9999999999,1895,-,0.0,0.0
2000 BMW Z3,http://file.carisyou.com/newcar/color/270_bmw_z32000_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/18.jpg,BMW,수입,-만원,-,가솔린,소형,컨버터블,로드스터1.9i,단종,2000-01-01,2001-01-01,2명,0km/h,"1,895cc",-,FR,0등급,-,9999999999,9999999999,1895,-,0.0,0.0
2001 BMW Z3,http://file.carisyou.com/newcar/color/271_bmw_z32001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/19.jpg,BMW,수입,-만원,-,가솔린,소형,컨버터블,로드스터1.9i,단종,2001-01-01,2002-01-01,2명,0km/h,"1,895cc",-,FR,0등급,-,9999999999,9999999999,1895,-,0.0,0.0
2002 BMW Z3,http://file.carisyou.com/newcar/color/272_bmw_z32002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/20.jpg,BMW,수입,-만원,8.7km/ℓ,가솔린,소형,컨버터블,로드스터2.5i,단종,2002-01-01,2003-01-01,2명,0km/h,"2,494cc",-,FR,0등급,-,9999999999,9999999999,2494,8.7,8.7,8.7
2003 BMW Z3,http://file.carisyou.com/newcar/color/273_bmw_z3roadster2003_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/21.jpg,BMW,수입,"5,400~6,510만원",8.1~9.4km/ℓ,가솔린,소형,컨버터블,로드스터2.2i,단종,2003-01-01,2004-01-01,2명,206km/h,"2,171cc",직렬6기통DOHC,FR,4등급,"54000000, 65100000",54000000,65100000,2171,"8.1, 9.4",8.1,9.4
2001 BMW Z8,http://file.carisyou.com/newcar/color/276_bmw_z82001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/22.jpg,BMW,수입,-만원,-,가솔린,준중형,컨버터블,Z8,단종,2001-01-01,2002-01-01,2명,0km/h,"4,941cc",-,FR,0등급,-,9999999999,9999999999,4941,-,0.0,0.0
2002 BMW Z8,http://file.carisyou.com/newcar/color/277_bmw_z82002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/23.jpg,BMW,수입,"2억3,900만원",6.9km/ℓ,가솔린,준중형,컨버터블,Z8,단종,2002-01-01,2003-01-01,2명,250km/h,"4,941cc",8기통DOHC,FR,5등급,239000000,239000000,239000000,4941,6.9,6.9,6.9
1999 Chevrolet 블레이저,http://file.carisyou.com/newcar/color/307_chevrolet_blazer1999_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/24.jpg,쉐보레,국산,-만원,6.2km/ℓ,가솔린,"준중형,중형",SUV,LS2-도어,미정,,,5명,0km/h,"4,292cc",-,FR,0등급,-,9999999999,9999999999,4292,6.2,6.2,6.2
2002 Chevrolet 타호,http://file.carisyou.com/newcar/color/355_chevrolet_tahoe2002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/25.jpg,쉐보레,국산,-만원,-,가솔린,대형,SUV,LS,미정,,,5명,0km/h,"4,800cc",-,FR,0등급,-,9999999999,9999999999,4800,-,0.0,0.0
2002 Chevrolet 트레일블레이저,http://file.carisyou.com/newcar/color/357_chevrolet_trailblazer2002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/26.jpg,쉐보레,국산,-만원,-,가솔린,중형,SUV,EXT,단종,2002-01-01,2003-01-01,5명,0km/h,"4,161cc",-,FR,0등급,-,9999999999,9999999999,4161,-,0.0,0.0
1999 닷지 캐러밴,,,닷지,수입,"3,762만원",7.2km/ℓ,가솔린,중형,RV,캐러밴,단종,1999-01-01,2000-01-01,7명,170km/h,"3,301cc",V6,FF,5등급,37620000,37620000,37620000,3301,7.2,7.2,7.2
1999 닷지 그랜드 캐러밴,,,닷지,수입,"4,180만원",7.2km/ℓ,가솔린,대형,RV,그랜드캐러밴,단종,1999-01-01,2000-01-01,7명,170km/h,"3,301cc",V6,FF,5등급,41800000,41800000,41800000,3301,7.2,7.2,7.2
1999 지프 체로키(2세대),,,지프,수입,"3,399만원",7.8km/ℓ,가솔린,준중형,SUV,스포트,단종,1999-01-01,2000-01-01,5명,165km/h,"2,466cc",I-4MPI,4WD,5등급,33990000,33990000,33990000,2466,7.8,7.8,7.8
1999 지프 그랜드 체로키(2세대),,,지프,수입,"5,071만원",6.7km/ℓ,가솔린,중형,SUV,리미티드,단종,1999-01-01,2000-01-01,5명,190km/h,"3,956cc",직렬6기통OHV엔진,4WD,5등급,50710000,50710000,50710000,3956,6.7,6.7,6.7
1999 지프 랭글러,,,지프,수입,"2,838만원",7.0km/ℓ,가솔린,소형,SUV,Sahara,단종,1999-01-01,2000-01-01,4명,174km/h,"3,960cc",I-6MPI,4WD,5등급,28380000,28380000,28380000,3960,7.0,7.0,7.0
2000 닷지 스트라투스,,,닷지,수입,"2,490~2,900만원",8.0~11.0km/ℓ,가솔린,중형,세단,2.0,단종,2000-01-01,2001-01-01,5명,185km/h,"2,000cc",I416Valve,FF,3등급,"24900000, 29000000",24900000,29000000,2000,"8.0, 11.0",8.0,11.0
2001 시트로엥 베를링고,http://file.carisyou.com/newcar/color/3058_citroen_berlingo2010_0.gif,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/33.jpg,시트로엥,수입,-만원,-,"가솔린,디젤",소형,RV,콤비1.4i,미정,,,-명,0km/h,"1,360cc",-,FF,0등급,-,9999999999,9999999999,1360,-,0.0,0.0
1994 한국지엠 아카디아,,,한국지엠,국산,-만원,12.4km/ℓ,가솔린,준대형,세단,V6LX,단종,1994-01-01,1995-01-01,5명,0km/h,"3,206cc",V6DOHC24valve,FR,0등급,-,9999999999,9999999999,3206,12.4,12.4,12.4
1995 한국지엠 아카디아,,,한국지엠,국산,-만원,12.4km/ℓ,가솔린,준대형,세단,V6LX,단종,1995-01-01,1996-01-01,5명,0km/h,"3,206cc",V6DOHC24valve,FR,0등급,-,9999999999,9999999999,3206,12.4,12.4,12.4
1996 한국지엠 아카디아,,,한국지엠,국산,-만원,12.4km/ℓ,가솔린,준대형,세단,V6LX,단종,1996-01-01,1997-01-01,5명,189km/h,"3,206cc",V6DOHC24valve,FR,3등급,-,9999999999,9999999999,3206,12.4,12.4,12.4
1997 한국지엠 아카디아,,,한국지엠,국산,-만원,12.4km/ℓ,가솔린,준대형,세단,V6LX,단종,1997-01-01,1998-01-01,5명,189km/h,"3,206cc",V6DOHC24valve,FR,3등급,-,9999999999,9999999999,3206,12.4,12.4,12.4
1998 한국지엠 아카디아,,,한국지엠,국산,-만원,12.4km/ℓ,가솔린,준대형,세단,V6LX,단종,1998-01-01,1999-10-01,5명,189km/h,"3,206cc",V6DOHC24valve,FR,3등급,-,9999999999,9999999999,3206,12.4,12.4,12.4
1999 한국지엠 아카디아,,,한국지엠,국산,-만원,12.4km/ℓ,가솔린,준대형,세단,V6LX,단종,1999-01-01,1999-10-01,5명,189km/h,"3,206cc",V6DOHC24valve,FR,3등급,-,9999999999,9999999999,3206,12.4,12.4,12.4
1997 한국지엠 브로엄,http://file.carisyou.com/newcar/color/492_gmdaewoo_brougham2001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/40.jpg,한국지엠,국산,"1,530~2,190만원",9.6~12.4km/ℓ,"가솔린,엘피지",준대형,세단,2000SOHC,단종,1996-01-01,1999-01-01,5명,180km/h,"1,998cc",직렬4기통,FR,3등급,"15300000, 21900000",15300000,21900000,1998,"9.6, 12.4",9.6,12.4
1999 한국지엠 다마스,,,한국지엠,국산,-만원,22.0~25.0km/ℓ,"가솔린,엘피지",경형,버스,2인승글라스밴DLX,단종,1999-01-01,2000-01-01,2명,115km/h,796cc,-,FR,1등급,-,9999999999,9999999999,796,"22.0, 25.0",22.0,25.0
2001 한국지엠 다마스,http://file.carisyou.com/newcar/color/515_gmdaewoo_damas2001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/42.jpg,한국지엠,국산,504~590만원,10.6~25.0km/ℓ,"가솔린,엘피지",경형,버스,5인승가솔린슈퍼,단종,2001-01-01,2003-01-01,5명,115km/h,796cc,-,FR,1등급,"5040000, 5900000",5040000,5900000,796,"10.6, 25.0",10.6,25.0
1991 한국지엠 에스페로,http://file.carisyou.com/newcar/color/529_gmdaewoo_espero1991_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/43.jpg,한국지엠,국산,-만원,9.6~15.2km/ℓ,가솔린,준중형,세단,1.5DOHC5단,단종,1991-01-01,1992-01-01,5명,180km/h,"1,498cc",직렬4기통,FF,3등급,-,9999999999,9999999999,1498,"9.6, 15.2",9.6,15.2
1992 한국지엠 에스페로,http://file.carisyou.com/newcar/color/530_gmdaewoo_espero1992_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/44.jpg,한국지엠,국산,-만원,9.6~15.2km/ℓ,가솔린,준중형,세단,1.5DOHC5단,단종,1992-01-01,1993-01-01,5명,180km/h,"1,498cc",직렬4기통,FF,3등급,-,9999999999,9999999999,1498,"9.6, 15.2",9.6,15.2
1993 한국지엠 에스페로,http://file.carisyou.com/newcar/color/531_gmdaewoo_espero1993_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/45.jpg,한국지엠,국산,-만원,9.6~15.1km/ℓ,가솔린,준중형,세단,1.5DOHC5단,단종,1993-01-01,1994-01-01,5명,180km/h,"1,498cc",직렬4기통,FF,3등급,-,9999999999,9999999999,1498,"9.6, 15.1",9.6,15.1
1994 한국지엠 에스페로,http://file.carisyou.com/newcar/color/532_gmdaewoo_espero1994_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/46.jpg,한국지엠,국산,-만원,9.6~15.1km/ℓ,가솔린,준중형,세단,1.5DOHC5단,단종,1994-01-01,1995-01-01,5명,180km/h,"1,498cc",직렬4기통,FF,3등급,-,9999999999,9999999999,1498,"9.6, 15.1",9.6,15.1
1995 한국지엠 에스페로,http://file.carisyou.com/newcar/color/533_gmdaewoo_espero1995_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/47.jpg,한국지엠,국산,-만원,9.6~15.1km/ℓ,가솔린,준중형,세단,1.5DOHC5단,단종,1995-01-01,1996-12-01,5명,180km/h,"1,498cc",직렬4기통,FF,3등급,-,9999999999,9999999999,1498,"9.6, 15.1",9.6,15.1
1996 한국지엠 에스페로,http://file.carisyou.com/newcar/color/534_gmdaewoo_espero1996_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/48.jpg,한국지엠,국산,"745~1,125만원",14.8~15.5km/ℓ,가솔린,준중형,세단,1.5MPFi,단종,1996-01-01,1996-12-01,5명,195km/h,"1,498cc",직렬4기통SOHC,FF,1등급,"7450000, 11250000",7450000,11250000,1498,"14.8, 15.5",14.8,15.5
2002 한국지엠 칼로스,http://file.carisyou.com/newcar/color/539_gmdaewoo_kalos2002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/49.jpg,한국지엠,국산,753~988만원,14.2~16.3km/ℓ,가솔린,소형,세단,1.5DK일반형,단종,2002-05-02,2003-01-01,5명,175km/h,"1,498cc",SOHC,FF,1등급,"7530000, 9880000",7530000,9880000,1498,"14.2, 16.3",14.2,16.3
2002 한국지엠 칼로스5,,,한국지엠,국산,753~988만원,14.2~16.3km/ℓ,가솔린,소형,해치백,1.5DK일반형,단종,2002-01-01,2003-01-01,5명,175km/h,"1,498cc",SOHC,FF,1등급,"7530000, 9880000",7530000,9880000,1498,"14.2, 16.3",14.2,16.3
1995 한국지엠 라보,,,한국지엠,국산,-만원,-,엘피지,경형,트럭,카고(LPG),단종,1995-01-01,1996-01-01,3명,0km/h,796cc,-,FR,0등급,-,9999999999,9999999999,796,-,0.0,0.0
1996 한국지엠 라보,,,한국지엠,국산,-만원,-,엘피지,경형,트럭,카고(LPG),단종,1996-01-01,1997-01-01,3명,0km/h,796cc,-,FR,0등급,-,9999999999,9999999999,796,-,0.0,0.0
1997 한국지엠 라보,http://file.carisyou.com/newcar/color/548_gmdaewoo_labo1997_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/53.jpg,한국지엠,국산,-만원,-,엘피지,경형,트럭,카고(LPG),단종,1997-01-01,1998-01-01,3명,0km/h,796cc,-,FR,0등급,-,9999999999,9999999999,796,-,0.0,0.0
1998 한국지엠 라보,http://file.carisyou.com/newcar/color/549_gmdaewoo_labo1998_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/54.jpg,한국지엠,국산,-만원,-,엘피지,경형,트럭,카고(LPG),단종,1998-01-01,1999-01-01,3명,0km/h,796cc,-,FR,0등급,-,9999999999,9999999999,796,-,0.0,0.0
1999 한국지엠 라보,http://file.carisyou.com/newcar/color/550_gmdaewoo_labo1999_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/55.jpg,한국지엠,국산,-만원,-,엘피지,경형,트럭,카고(LPG),단종,1999-01-01,2000-01-01,3명,0km/h,796cc,-,FR,0등급,-,9999999999,9999999999,796,-,0.0,0.0
2000 한국지엠 라보,http://file.carisyou.com/newcar/color/551_gmdaewoo_labo2000_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/56.jpg,한국지엠,국산,-만원,-,"디젤,엘피지",경형,트럭,카고(LPG),단종,2000-01-01,2001-01-01,3명,0km/h,796cc,-,FR,0등급,-,9999999999,9999999999,796,-,0.0,0.0
2001 한국지엠 라보,http://file.carisyou.com/newcar/color/552_gmdaewoo_labo2001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/57.jpg,한국지엠,국산,473만원,11.8km/ℓ,"디젤,엘피지",경형,트럭,카고LPG,단종,2001-01-01,2002-01-01,2명,98km/h,796cc,F8CLLPG,FR,3등급,4730000,4730000,4730000,796,11.8,11.8,11.8
2002 한국지엠 라세티,http://file.carisyou.com/newcar/color/553_gmdaewoo_lacetti2002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/58.jpg,한국지엠,국산,"869~1,235만원",14.0~15.8km/ℓ,가솔린,준중형,세단,EX일반형,단종,2002-11-01,2003-01-01,5명,183km/h,"1,498cc",DOHC,FF,1등급,"8690000, 12350000",8690000,12350000,1498,"14.0, 15.8",14.0,15.8
1999 한국지엠 라노스,http://file.carisyou.com/newcar/color/554_gmdaewoo_lanos1999_100.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/59.jpg,한국지엠,국산,578~873만원,13.6~16.5km/ℓ,가솔린,소형,세단,1.3SOHC기본형,단종,1999-01-01,2000-03-01,5명,170km/h,"1,349cc",-,FF,2등급,"5780000, 8730000",5780000,8730000,1349,"13.6, 16.5",13.6,16.5
2000 한국지엠 라노스2,http://file.carisyou.com/newcar/color/558_gmdaewoo_lanos2000_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/60.jpg,한국지엠,국산,584~964만원,13.6~16.5km/ℓ,가솔린,소형,해치백,줄리엣5도어1.3SOHC기본형,단종,2000-04-27,2000-12-31,5명,170km/h,"1,349cc",1.3E-TECSOHC,FF,2등급,"5840000, 9640000",5840000,9640000,1349,"13.6, 16.5",13.6,16.5
2000 한국지엠 라노스2,http://file.carisyou.com/newcar/color/559_gmdaewoo_lanosii2000_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/61.jpg,한국지엠,국산,600~888만원,13.6~16.5km/ℓ,가솔린,소형,세단,1.3SOHC,단종,2000-04-01,2001-01-01,5명,170km/h,"1,349cc",E-TECSOHC,FF,1등급,"6000000, 8880000",6000000,8880000,1349,"13.6, 16.5",13.6,16.5
2001 한국지엠 라노스2,http://file.carisyou.com/newcar/color/3090_gmdaewoo_lanosii2001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/62.jpg,한국지엠,국산,610~919만원,13.6~16.5km/ℓ,가솔린,소형,세단,1.3SOHC,단종,2001-01-01,2003-05-01,5명,170km/h,"1,349cc",E-TECSOHC,FF,1등급,"6100000, 9190000",6100000,9190000,1349,"13.6, 16.5",13.6,16.5
1999 한국지엠 레간자,http://file.carisyou.com/newcar/color/561_gmdaewoo_leganza1999_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/63.jpg,한국지엠,국산,"1,086~1,923만원",10.4~13.5km/ℓ,가솔린,중형,세단,1.8SOHC,단종,1999-01-01,2000-01-01,5명,182km/h,"1,796cc",-,FF,2등급,"10860000, 19230000",10860000,19230000,1796,"10.4, 13.5",10.4,13.5
1997 한국지엠 레간자,http://file.carisyou.com/newcar/color/562_gmdaewoo_leganza1997_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/64.jpg,한국지엠,국산,-만원,-,"가솔린,엘피지",중형,세단,1.8SOHC,단종,1997-03-01,1998-01-01,5명,0km/h,"1,796cc",-,FF,0등급,-,9999999999,9999999999,1796,-,0.0,0.0
1998 한국지엠 레간자,http://file.carisyou.com/newcar/color/563_gmdaewoo_leganza1998_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/65.jpg,한국지엠,국산,-만원,-,"가솔린,엘피지",중형,세단,1.8DOHC,단종,1998-01-01,1999-01-01,5명,0km/h,"1,800cc",-,FF,0등급,-,9999999999,9999999999,1800,-,0.0,0.0
2000 한국지엠 레간자,http://file.carisyou.com/newcar/color/564_gmdaewoo_leganza2000_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/66.jpg,한국지엠,국산,-만원,-,"가솔린,엘피지",중형,세단,1.8DOHC,단종,2000-01-01,2001-01-01,5명,0km/h,"1,800cc",-,FF,0등급,-,9999999999,9999999999,1800,-,0.0,0.0
2001 한국지엠 레간자,http://file.carisyou.com/newcar/color/565_gmdaewoo_leganza2001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/67.jpg,한국지엠,국산,"895~1,963만원",7.5~13.6km/ℓ,"가솔린,엘피지",중형,세단,2.0SOHC밀레니엄스페셜,단종,2001-01-01,2002-07-01,5명,0km/h,"2,000cc",-,FF,0등급,"8950000, 19630000",8950000,19630000,2000,"7.5, 13.6",7.5,13.6
2001 한국지엠 매그너스,,,한국지엠,국산,"1,298~1,845만원",11.1~13.6km/ℓ,가솔린,중형,세단,클래식2.0SOHC,단종,2001-01-01,2002-01-01,5명,190km/h,"1,998cc",4기통SOHC,FF,2등급,"12980000, 18450000",12980000,18450000,1998,"11.1, 13.6",11.1,13.6
2002 한국지엠 매그너스,http://file.carisyou.com/newcar/color/575_gmdaewoo_magnus2002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/69.jpg,한국지엠,국산,"1,331~2,164만원",9.0~13.6km/ℓ,가솔린,중형,세단,클래식2.0SOHC,단종,2002-11-01,2003-01-01,5명,190km/h,"1,998cc",4기통SOHC,FF,2등급,"13310000, 21640000",13310000,21640000,1998,"9.0, 13.6",9.0,13.6
2000 한국지엠 매그너스,http://file.carisyou.com/newcar/color/576_gmdaewoo_magnus2000_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/70.jpg,한국지엠,국산,"1,285~1,815만원",9.5~13.1km/ℓ,"가솔린,엘피지",중형,세단,2.0DOHC이글,단종,2000-12-02,2001-01-01,5명,0km/h,"1,998cc",-,FF,0등급,"12850000, 18150000",12850000,18150000,1998,"9.5, 13.1",9.5,13.1
1999 한국지엠 마티즈,,,한국지엠,국산,475~880만원,17.1~22.8km/ℓ,가솔린,경형,해치백,밴,단종,1999-01-01,2000-01-01,2명,144km/h,796cc,-,FF,1등급,"4750000, 8800000",4750000,8800000,796,"17.1, 22.8",17.1,22.8
2000 한국지엠 마티즈,,,한국지엠,국산,480~904만원,17.1~23.8km/ℓ,가솔린,경형,해치백,밴,단종,2000-01-01,2000-01-01,2명,144km/h,796cc,-,FF,1등급,"4800000, 9040000",4800000,9040000,796,"17.1, 23.8",17.1,23.8
2002 한국지엠 마티즈2,,,한국지엠,국산,510~738만원,22.2~23.8km/ℓ,가솔린,경형,해치백,밴,단종,2002-01-01,2003-01-01,2명,144km/h,796cc,-,FF,1등급,"5100000, 7380000",5100000,7380000,796,"22.2, 23.8",22.2,23.8
2000 한국지엠 마티즈2,http://file.carisyou.com/newcar/color/581_gmkorea_matiz22000_100.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/74.jpg,한국지엠,국산,495~708만원,22.2~23.8km/ℓ,가솔린,경형,해치백,ME,단종,2000-08-01,2001-06-01,5명,0km/h,796cc,-,FF,0등급,"4950000, 7080000",4950000,7080000,796,"22.2, 23.8",22.2,23.8
2001 한국지엠 마티즈2,,,한국지엠,국산,530~708만원,22.2~23.8km/ℓ,가솔린,경형,해치백,ME,단종,2001-01-01,2002-01-01,5명,0km/h,796cc,-,FF,0등급,"5300000, 7080000",5300000,7080000,796,"22.2, 23.8",22.2,23.8
